City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Maximum Temperature,Wind Speed
Fenyi,31,CN,1584162376,51,27.81,114.67,18.6,1.9
Srostki,99,RU,1584162376,100,52.42,85.7,0.3,2.2
Micheweni,84,TZ,1584162376,74,-4.97,39.83,29.3,3.38
Xining,83,CN,1584162377,19,36.62,101.77,6.22,1.11
Esim,1,GH,1584162377,94,4.87,-2.24,25.26,1.74
Maceió,75,BR,1584162244,88,-9.67,-35.74,25.0,1.0
Wodonga,1,AU,1584162377,26,-36.12,146.88,22.0,5.7
Smidovich,100,RU,1584162377,80,48.6,133.82,-6.82,2.56
Iracoubo,52,GF,1584162263,80,5.48,-53.2,26.6,7.99
Niono,11,ML,1584162377,10,14.25,-5.99,22.61,3.93
Walvis Bay,0,NA,1584162230,100,-22.96,14.51,16.11,1.5
Bairiki Village,40,KI,1584162250,62,1.33,172.98,30.0,2.6
Aki,75,JP,1584162378,54,33.5,133.9,13.0,5.7
Huimilpan,90,MX,1584162378,72,20.37,-100.28,16.0,7.2
Oxbow,75,CA,1584162378,72,49.23,-102.17,-10.0,6.7
Bud,1,US,1584162232,64,39.45,-86.18,5.0,1.72
Vestmannaeyjar,2,IS,1584162225,75,63.44,-20.27,-3.54,10.29
Kempsey,2,AU,1584162378,69,-31.08,152.83,26.11,9.3
Kathmandu,75,NP,1584162136,72,27.72,85.32,15.0,1.0
Vila,35,PT,1584162283,86,42.03,-8.16,10.56,1.0
Lahaina,40,US,1584162211,100,20.88,-156.68,23.0,2.1
Whitehorse,75,CA,1584162379,47,60.72,-135.05,-11.0,2.1
Rovaniemi,50,FI,1584162097,78,66.5,25.72,-13.0,5.1
Lakatoro,100,VU,1584162379,75,-16.1,167.42,32.0,2.6
Athabasca,100,CA,1584162008,93,54.72,-113.29,-21.98,1.79
Obo,91,CF,1584162379,79,5.4,26.49,23.7,0.81
Talnakh,75,RU,1584162263,95,69.49,88.4,0.0,13.0
Takaka,1,NZ,1584162379,62,-40.85,172.8,20.56,2.24
The Valley,75,AI,1584162230,88,18.22,-63.06,25.0,2.1
Buraidah,75,SA,1584162238,88,26.33,43.98,19.0,3.6
Half Moon Bay,90,US,1584162245,87,37.46,-122.43,13.0,2.6
Kiunga,88,PG,1584162380,95,-6.12,141.29,27.67,1.89
Kidal,0,ML,1584162090,16,18.44,1.41,19.89,5.05
Santa Maria da Vitória,35,BR,1584162380,95,-13.39,-44.19,19.4,1.75
Safi,98,MA,1584162380,89,32.3,-9.24,11.52,2.99
Hobyo,96,SO,1584162284,65,5.35,48.53,29.38,8.16
Isla Vista,90,US,1584162380,87,34.41,-119.86,13.33,2.1
Kīhei,40,US,1584162131,100,20.79,-156.47,23.0,2.1
Iwaki,75,JP,1584162381,95,37.05,140.88,4.44,5.1
Lagunillas,28,VE,1584162381,80,10.13,-71.26,26.6,7.23
Lüderitz,0,NA,1584162274,82,-26.65,15.16,18.0,5.1
Nagato,40,JP,1584162381,41,34.38,131.2,14.0,8.2
Miandrivazo,87,MG,1584162381,60,-19.52,45.47,28.37,1.14
Aberdeen,90,GB,1584162267,75,57.14,-2.1,5.0,8.7
Ucluelet,100,CA,1584162225,50,48.93,-125.55,3.33,0.89
Wilmington,40,US,1584162193,88,34.23,-77.94,18.0,3.89
Coxim,15,BR,1584162226,81,-18.51,-54.76,23.81,2.77
Hofn,36,IS,1584161975,67,64.25,-15.21,-0.01,6.52
Kerman,75,IR,1584162382,22,30.28,57.08,6.0,1.98
Takoradze,1,GH,1584162382,94,4.88,-1.76,25.26,1.74
Sur,96,OM,1584162267,18,22.57,59.53,25.89,1.9
Lattes,17,FR,1584162382,93,43.57,3.9,7.0,1.5
Mizhou,0,CN,1584162183,21,35.99,119.4,13.72,7.53
Rumonge,99,BI,1584162383,86,-3.97,29.44,20.82,0.15
Satun,40,TH,1584162383,52,6.83,100.0,35.0,4.1
Skibbereen,75,IE,1584162111,93,51.55,-9.27,6.0,3.6
Kherālu,12,IN,1584162383,12,23.88,72.62,28.53,4.99
Asahikawa,40,JP,1584162383,71,43.77,142.37,0.0,3.6
Shīeli,32,KZ,1584162383,41,44.17,66.75,13.1,5.08
Inírida,72,CO,1584162086,95,3.87,-67.92,23.33,0.84
Cruzeiro do Sul,8,BR,1584162384,94,-29.51,-51.99,22.22,0.85
Aksu,1,CN,1584162246,14,41.12,80.26,11.25,3.27
Terney,61,RU,1584162384,75,45.05,136.61,-1.75,2.32
Yulara,0,AU,1584162256,16,-25.24,130.99,36.0,5.1
Jiayuguan City,0,CN,1584162384,13,39.82,98.3,9.69,4.42
Chengde,0,CN,1584162306,23,40.97,117.94,8.16,7.81
Tutóia,100,BR,1584162384,94,-2.76,-42.27,21.96,3.08
Kulhudhuffushi,0,MV,1584162031,76,6.62,73.07,28.9,5.56
Itarema,100,BR,1584162272,97,-2.92,-39.92,23.07,1.41
Garissa,74,KE,1584162385,69,-0.45,39.64,27.98,4.37
Esso,100,RU,1584162223,83,55.93,158.7,-9.01,3.53
Palmer,1,US,1584162255,44,42.16,-72.33,6.11,4.1
San Miguel de Tucumán,98,AR,1584162385,78,-26.82,-65.22,26.0,3.02
Cantagallo,73,CO,1584162385,92,7.38,-73.92,23.14,0.73
Chara,80,RU,1584162385,76,56.91,118.26,-16.45,1.71
Kavaratti,40,IN,1584162257,66,10.57,72.64,29.0,2.1
Vwawa,100,TZ,1584162386,95,-9.12,32.93,18.39,2.17
Eureka,90,US,1584162386,87,40.8,-124.16,8.33,6.2
Fort Nelson,20,CA,1584162386,58,58.81,-122.7,-19.0,1.5
Yoichi,75,JP,1584162386,44,43.2,140.77,3.0,3.1
Mt. Pleasant,40,US,1584162101,82,32.79,-79.86,19.0,1.59
Sydney,75,AU,1584162298,93,-33.87,151.21,14.0,7.7
Pyatnitskoye,98,RU,1584162386,84,50.42,37.83,4.2,4.02
Waipawa,0,NZ,1584162387,43,-41.41,175.52,21.0,6.7
Englehart,90,CA,1584162387,79,47.82,-79.87,-3.0,9.3
Tagāb,20,AF,1584162387,14,34.85,69.65,8.0,1.71
Ürümqi,0,CN,1584162235,45,43.8,87.6,6.0,3.0
Morros,100,BR,1584162387,93,-9.45,-46.3,20.27,5.18
Nago,90,JP,1584162387,68,26.59,127.98,18.0,8.7
Newport,75,GB,1584162302,93,51.59,-3.0,8.0,2.6
Casablanca,40,MA,1584162126,87,33.59,-7.62,15.0,1.0
Carupano,3,VE,1584162388,97,10.67,-63.26,20.07,0.97
Nome,90,US,1584162111,86,64.5,-165.41,1.0,5.1
Bariloche,20,AR,1584162239,89,-41.15,-71.31,9.0,8.2
Port Pirie,17,AU,1584162388,33,-33.18,138.02,22.0,8.7
Catuday,81,PH,1584162278,79,16.29,119.81,27.16,7.36
Bend,20,US,1584162388,95,44.06,-121.32,1.11,1.61
Tommot,100,RU,1584162388,86,58.96,126.29,-18.93,4.59
Rudnogorsk,97,RU,1584162389,99,57.26,103.75,0.72,3.12
Inhambane,40,MZ,1584162389,94,-23.86,35.38,24.0,1.81
Shache,97,CN,1584162389,29,38.42,77.24,12.22,0.89
Arrondissement de Nevers,80,FR,1584162389,80,46.92,3.33,4.0,0.92
Beloha,48,MG,1584162389,58,-25.17,45.05,27.33,5.19
Juegang,1,CN,1584162389,46,32.32,121.19,15.56,4.58
Lensk,55,RU,1584162269,85,60.73,114.93,-13.68,4.1
Yar-Sale,100,RU,1584161997,99,66.83,70.83,0.14,5.31
Fairbanks,1,US,1584161966,71,64.84,-147.72,-6.11,0.93
Vila Velha,75,BR,1584162071,94,-20.33,-40.29,24.0,1.5
Bilma,0,NE,1584162390,24,18.69,12.92,15.85,2.93
Benguela,100,AO,1584162390,85,-12.58,13.41,25.3,2.31
Grootfontein,40,NA,1584162390,100,-19.57,18.12,16.0,1.5
Teguise,75,ES,1584162390,67,29.06,-13.56,17.0,4.1
Nioro,0,GM,1584162390,17,13.35,-15.75,22.21,3.17
Santa Ana,90,US,1584162295,93,33.75,-117.87,14.44,3.36
Camacupa,100,AO,1584162391,98,-12.02,17.48,17.57,1.8
Luba,20,GQ,1584162391,88,3.46,8.55,28.0,3.6
Gwadar,20,PK,1584162391,56,25.12,62.33,23.66,0.84
Blythe,90,US,1584162391,59,33.61,-114.6,17.0,2.6
Krasnovishersk,100,RU,1584162391,98,60.41,57.08,0.51,5.87
Liusha,35,CN,1584162391,52,27.21,108.59,16.17,2.48
Dārāb,100,IR,1584162391,25,28.75,54.54,20.52,2.18
Rumphi,100,MW,1584162392,92,-11.02,33.86,20.71,0.73
Kloulklubed,75,PW,1584162256,66,7.04,134.26,30.0,4.1
Alcúdia,100,ES,1584162392,81,39.85,3.12,13.33,1.0
Virginia Beach,1,US,1584162188,62,36.85,-75.98,19.0,3.1
Moose Factory,90,CA,1584162269,85,51.26,-80.61,-9.0,9.8
Deputatsky,0,RU,1584162239,83,69.3,139.9,-27.43,0.84
Dhupgāri,100,IN,1584162392,34,26.59,89.01,29.94,2.75
Novy Urengoy,100,RU,1584162392,97,66.08,76.63,0.46,10.47
Nuuk,97,GL,1584162315,72,64.18,-51.72,-12.0,5.7
Scarborough,82,GB,1584162002,93,54.28,-0.4,5.56,2.6
Itaueira,100,BR,1584162393,93,-7.6,-43.03,22.12,0.99
Timmins,90,CA,1584162317,92,48.47,-81.33,-5.0,8.7
Colesberg,0,ZA,1584162393,68,-30.72,25.1,18.64,5.0
Apiaí,34,BR,1584162393,96,-24.51,-48.84,17.21,0.89
Hoquiam,90,US,1584162393,93,46.98,-123.89,4.44,2.1
Erenhot,0,CN,1584162393,31,43.65,111.98,3.38,10.01
Ponta Delgada,20,PT,1584162393,81,37.73,-25.67,12.0,3.1
Villa Carlos Paz,13,AR,1584162258,88,-31.42,-64.5,26.67,3.1
Dubti,48,ET,1584162394,61,11.74,41.09,25.72,1.87
San Jose,1,US,1584162212,66,37.34,-121.89,13.0,3.07
Bonthe,0,SL,1584162106,90,7.53,-12.51,25.42,2.31
Eberswalde,0,DE,1584162394,100,52.83,13.82,1.67,0.5
Businga,92,CD,1584162394,75,3.33,20.88,24.12,1.26
San José del Palmar,75,CO,1584162394,100,4.97,-76.23,20.0,4.1
Dicabisagan,50,PH,1584162394,75,17.08,122.42,27.44,4.16
Noumea,100,NC,1584162105,74,-22.28,166.46,30.0,2.1
Kununurra,42,AU,1584162395,35,-15.77,128.73,38.0,3.6
Pattaya,8,TH,1584162395,50,12.93,100.88,37.22,4.54
Manakara,67,MG,1584162395,87,-22.13,48.02,25.81,1.8
Gien,89,FR,1584162395,89,47.69,2.63,6.11,3.05
Gamba,99,GA,1584162280,90,-2.65,10.0,25.53,1.57
Killybegs,94,IE,1584162395,93,54.63,-8.45,5.56,4.92
Sawākin,70,SD,1584162395,60,19.11,37.33,24.18,7.46
Det Udom,25,TH,1584162396,56,14.91,105.08,36.11,1.5
Thabazimbi,0,ZA,1584162396,59,-24.59,27.41,23.72,0.86
Beian,90,NO,1584162396,86,63.66,9.57,-1.11,4.6
Miran Shah,0,PK,1584162396,36,33.01,70.07,14.1,1.31
Cap Malheureux,75,MU,1584162221,94,-19.98,57.61,28.33,1.0
Aland,56,IN,1584162396,22,17.57,76.57,33.32,4.86
Mayya,100,RU,1584162396,59,61.73,130.28,-16.0,4.0
Brae,100,GB,1584162396,77,60.4,-1.35,5.0,10.3
Nizwá,91,OM,1584162396,13,22.93,57.53,23.13,2.05
Puerto Escondido,20,MX,1584162397,88,15.85,-97.07,27.0,2.6
Kushima,75,JP,1584162397,43,31.46,131.23,18.0,8.7
Mayumba,84,GA,1584162397,78,-3.43,10.66,28.03,1.87
Kalat,6,PK,1584162124,21,29.02,66.59,10.59,2.87
Māngrol,0,IN,1584162397,40,21.12,70.12,26.14,4.08
Pontianak,62,ID,1584162397,53,-0.03,109.33,33.77,0.67
Okato,0,NZ,1584162397,50,-39.2,173.88,19.44,3.58
Turek,13,PL,1584162398,82,52.02,18.5,0.56,0.45
Usinsk,100,RU,1584162398,95,65.99,57.53,-4.96,5.95
Baft,97,IR,1584162398,19,29.23,56.61,13.06,1.71
Sayyan,37,YE,1584162398,29,15.17,44.32,20.85,3.98
Graaff-Reinet,0,ZA,1584162398,94,-32.25,24.53,16.67,0.89
Warrington,75,GB,1584162398,93,53.39,-2.58,7.0,4.1
Karlstad,0,SE,1584162398,79,59.38,13.5,-5.0,1.5
